Aircraft_Reg,MTOW,Calculated_Charge,Vendor_Charge,Difference,Status
VTCID,79000,412,412.0,0.0,Matched
VTCID,79000,412,412.0,0.0,Matched
VTEXK,79000,412,412.0,0.0,Matched
VTEXK,79000,412,412.0,0.0,Matched
VTANY,227930,486,486.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTANZ,227930,486,486.0,0.0,Matched
VTANK,227930,486,486.0,0.0,Matched
VTCID,79000,412,412.0,0.0,Matched
VTCID,79000,412,412.0,0.0,Matched
VTANY,227930,486,486.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTCID,79000,412,412.0,0.0,Matched
VTCID,79000,412,412.0,0.0,Matched
VTANZ,227930,486,486.0,0.0,Matched
VTEXN,79000,412,412.0,0.0,Matched
VTEXN,79000,412,412.0,0.0,Matched
VTNAC,227930,486,486.0,0.0,Matched
VTEXL,79000,412,412.0,0.0,Matched
VTEXL,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXQ,79000,412,412.0,0.0,Matched
VTEXQ,79000,412,412.0,0.0,Matched
VTCIF,79000,412,412.0,0.0,Matched
VTCIF,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTNAC,227930,486,486.0,0.0,Matched
VTANR,227930,486,486.0,0.0,Matched
VTCIF,79000,412,412.0,0.0,Matched
VTCIF,79000,412,412.0,0.0,Matched
VTNAA,227930,486,486.0,0.0,Matched
VTTNW,77000,412,412.0,0.0,Matched
VTTNW,77000,412,412.0,0.0,Matched
VTANY,227930,486,486.0,0.0,Matched
VTTNX,77000,412,412.0,0.0,Matched
VTTNX,77000,412,412.0,0.0,Matched
VTNAA,227930,486,486.0,0.0,Matched
VTNAC,227930,486,486.0,0.0,Matched
VTEXG,79000,412,412.0,0.0,Matched
VTEXG,79000,412,412.0,0.0,Matched
VTANZ,227930,486,486.0,0.0,Matched
VTCIE,79000,412,412.0,0.0,Matched
VTCIE,79000,412,412.0,0.0,Matched
VTANI,227930,486,486.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTNAA,227930,486,486.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXQ,79000,412,412.0,0.0,Matched
VTEXQ,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXV,79000,412,412.0,0.0,Matched
VTEXF,79000,412,412.0,0.0,Matched
VTEXF,79000,412,412.0,0.0,Matched
VTEXG,79000,412,412.0,0.0,Matched
VTEXG,79000,412,412.0,0.0,Matched
VTEXJ,79000,412,412.0,0.0,Matched
VTEXJ,79000,412,412.0,0.0,Matched
VTANZ,227930,486,486.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTCIP,79000,412,412.0,0.0,Matched
VTCIP,79000,412,412.0,0.0,Matched
VTCIQ,79000,412,412.0,0.0,Matched
VTCIQ,79000,412,412.0,0.0,Matched
VTANY,227930,486,486.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTTVH,97000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTNAC,227930,486,486.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTEXI,79000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTTVH,97000,412,412.0,0.0,Matched
VTEXH,79000,412,412.0,0.0,Matched
VTTVG,97000,412,412.0,0.0,Matched
VTEXT,79000,412,412.0,0.0,Matched
VTEXT,79000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTTVG,97000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTEXS,79000,412,412.0,0.0,Matched
VTTVI,97000,412,412.0,0.0,Matched
VTEXS,79000,412,412.0,0.0,Matched
VTRTT,79000,412,412.0,0.0,Matched
VTRTT,79000,412,412.0,0.0,Matched
VTEXK,79000,412,412.0,0.0,Matched
VTTVI,97000,412,412.0,0.0,Matched
VTEXK,79000,412,412.0,0.0,Matched
VTEXS,79000,412,412.0,0.0,Matched
VTEXS,79000,412,412.0,0.0,Matched
VTANM,227930,486,486.0,0.0,Matched
VTTVG,97000,412,412.0,0.0,Matched
VTCIQ,79000,412,412.0,0.0,Matched
VTCIQ,79000,412,412.0,0.0,Matched
VTNAC,227930,486,486.0,0.0,Matched
VTANZ,227930,486,486.0,0.0,Matched
VTCIG,79000,412,412.0,0.0,Matched
VTTVG,97000,412,412.0,0.0,Matched
VTCIG,79000,412,412.0,0.0,Matched
VTANN,227930,486,486.0,0.0,Matched
VTTVG,97000,412,412.0,0.0,Matched
VTCIE,79000,412,412.0,0.0,Matched
VTCIE,79000,412,412.0,0.0,Matched
VTANC,227930,486,486.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTTVJ,97000,412,412.0,0.0,Matched
VTEXU,79000,412,412.0,0.0,Matched
VTANV,227930,486,486.0,0.0,Matched
VTANE,227930,486,486.0,0.0,Matched
VTEXF,79000,412,412.0,0.0,Matched
VTEXF,79000,412,412.0,0.0,Matched
VTTQJ,77000,412,412.0,0.0,Matched
